match_id,team,score,detailed_score
ODI no. 3706,Bangladesh,276/9,"276/9 (50 Overs, RR: 5.52)"
ODI no. 3706,Zimbabwe,215 ,"215 all out (43.3 Overs, RR: 4.94)"
ODI no. 3713,Afghanistan,131,"131 all out (38.5 Overs, RR: 3.37)"
ODI no. 3713,Zimbabwe,82 ,"82 all out (30.5 Overs, RR: 2.65)"
ODI no. 3716,Zimbabwe,253/7,"253/7 (50 Overs, RR: 5.06)"
ODI no. 3716,Afghanistan,254/6 ,"254/6 (47.4 Overs, RR: 5.32)"
ODI no. 3719,Zimbabwe,175,"175 all out (48.3 Overs, RR: 3.6)"
ODI no. 3719,Afghanistan,58 ,"58 all out (16.1 Overs, RR: 3.58)"
ODI no. 3720,Zimbabwe,226,"226 all out (49.1 Overs, RR: 4.59)"
ODI no. 3720,Afghanistan,161 ,"161 all out (45 Overs, RR: 3.57)"
ODI no. 3722,Zimbabwe,248,"248 all out (49.5 Overs, RR: 4.97)"
ODI no. 3722,Afghanistan,254/8 ,"254/8 (49.4 Overs, RR: 5.11)"
ODI no. 3742,Zimbabwe,168,"168 all out (49.5 Overs, RR: 3.37)"
ODI no. 3742,India,173/1 ,"173/1 (42.3 Overs, RR: 4.07)"
ODI no. 3744,Zimbabwe,126,"126 all out (34.3 Overs, RR: 3.65)"
ODI no. 3744,India,129/2 ,"129/2 (26.5 Overs, RR: 4.8)"
ODI no. 3746,Zimbabwe,123,"123 all out (42.2 Overs, RR: 2.9)"
ODI no. 3746,India,126/0 ,"126/0 (21.5 Overs, RR: 5.77)"
ODI no. 3748,Sri Lanka,303/7,"303/7 (50 Overs, RR: 6.06)"
ODI no. 3748,Ireland,216 ,"216 all out (40.4 Overs, RR: 5.31)"
ODI no. 3749,Sri Lanka,377/8,"377/8 (50 Overs, RR: 7.54)"
ODI no. 3749,Ireland,241 ,"241 all out (45 Overs, RR: 5.35)"
ODI no. 3759,Afghanistan,,
ODI no. 3759,Scotland,,
ODI no. 3760,Afghanistan,178/6,"178/6 (37.2 Overs, RR: 4.76)"
ODI no. 3760,Scotland,132 ,"132 all out (27.1 Overs, RR: 4.85)"
ODI no. 3761,Afghanistan,250,"250 all out (49.2 Overs, RR: 5.06)"
ODI no. 3761,Ireland,211 ,"211 all out (48.2 Overs, RR: 4.36)"
ODI no. 3762,Afghanistan,236,"236 all out (49.1 Overs, RR: 4.8)"
ODI no. 3762,Ireland,237/4 ,"237/4 (47.3 Overs, RR: 4.98)"
ODI no. 3763,Afghanistan,229/7,"229/7 (50 Overs, RR: 4.58)"
ODI no. 3763,Ireland,150 ,"150 all out (41 Overs, RR: 3.65)"
ODI no. 3764,Ireland,265/5,"265/5 (50 Overs, RR: 5.3)"
ODI no. 3764,Afghanistan,253/9 ,"253/9 (50 Overs, RR: 5.06)"
ODI no. 3767,Pakistan,337/6,"337/6 (47 Overs, RR: 7.17)"
ODI no. 3767,Ireland,82 ,"82 all out (23.4 Overs, RR: 3.46)"
ODI no. 3780,South Africa,354/5,"354/5 (50 Overs, RR: 7.08)"
ODI no. 3780,Ireland,148 ,"148 all out (30.5 Overs, RR: 4.8)"
ODI no. 3782,Ireland,198,"198 all out (43.5 Overs, RR: 4.51)"
ODI no. 3782,Australia,199/1 ,"199/1 (30.1 Overs, RR: 6.59)"
ODI no. 3804,Zimbabwe,154,"154 all out (41.3 Overs, RR: 3.71)"
ODI no. 3804,Sri Lanka,155/2 ,"155/2 (24.3 Overs, RR: 6.32)"
ODI no. 3806,Zimbabwe,257,"257 all out (50 Overs, RR: 5.14)"
ODI no. 3806,West Indies,257/8 ,"257/8 (50 Overs, RR: 5.14)"
ODI no. 3807,Zimbabwe,,
ODI no. 3807,Sri Lanka,,
ODI no. 3809,Zimbabwe,218/8,"218/8 (49 Overs, RR: 4.44)"
ODI no. 3809,West Indies,124/5 ,"124/5 (27.3 Overs, RR: 4.5)"
ODI no. 3810,Zimbabwe,160,"160 all out (36.3 Overs, RR: 4.38)"
ODI no. 3810,Sri Lanka,166/4 ,"166/4 (37.3 Overs, RR: 4.42)"
ODI no. 3835,Afghanistan,215,"215 all out (49.2 Overs, RR: 4.35)"
ODI no. 3835,Zimbabwe,99/4 ,"99/4 (27.2 Overs, RR: 3.62)"
ODI no. 3837,Afghanistan,238/9,"238/9 (50 Overs, RR: 4.76)"
ODI no. 3837,Zimbabwe,184 ,"184 all out (42.1 Overs, RR: 4.36)"
ODI no. 3838,Zimbabwe,129,"129 all out (32.4 Overs, RR: 3.94)"
ODI no. 3838,Afghanistan,126 ,"126 all out (29.3 Overs, RR: 4.27)"
ODI no. 3840,Afghanistan,111,"111 all out (38.5 Overs, RR: 2.85)"
ODI no. 3840,Zimbabwe,107/3 ,"107/3 (22.2 Overs, RR: 4.79)"
ODI no. 3842,Afghanistan,253/9,"253/9 (50 Overs, RR: 5.06)"
ODI no. 3842,Zimbabwe,54 ,"54 all out (13.5 Overs, RR: 3.9)"
ODI no. 3850,Afghanistan,292/7,"292/7 (50 Overs, RR: 5.84)"
ODI no. 3850,Ireland,262 ,"262 all out (46.5 Overs, RR: 5.59)"
ODI no. 3851,Afghanistan,338,"338 all out (50 Overs, RR: 6.76)"
ODI no. 3851,Ireland,304 ,"304 all out (47.3 Overs, RR: 6.4)"
ODI no. 3852,Afghanistan,264/8,"264/8 (50 Overs, RR: 5.28)"
ODI no. 3852,Ireland,265/4 ,"265/4 (48.3 Overs, RR: 5.46)"
ODI no. 3853,Afghanistan,220,"220 all out (49.5 Overs, RR: 4.41)"
ODI no. 3853,Ireland,224/7 ,"224/7 (46.5 Overs, RR: 4.78)"
ODI no. 3854,Ireland,229,"229 all out (48.1 Overs, RR: 4.75)"
ODI no. 3854,Afghanistan,231/3 ,"231/3 (48.4 Overs, RR: 4.74)"
ODI no. 3864,Ireland,126,"126 all out (33 Overs, RR: 3.81)"
ODI no. 3864,England,127/3 ,"127/3 (20 Overs, RR: 6.35)"
ODI no. 3865,England,328/6,"328/6 (50 Overs, RR: 6.56)"
ODI no. 3865,Ireland,243 ,"243 all out (46.1 Overs, RR: 5.26)"
ODI no. 3866,Bangladesh,,
ODI no. 3866,Ireland,,
ODI no. 3867,New Zealand,289/7,"289/7 (50 Overs, RR: 5.78)"
ODI no. 3867,Ireland,238 ,"238 all out (45.3 Overs, RR: 5.23)"
ODI no. 3869,Ireland,181,"181 all out (46.3 Overs, RR: 3.89)"
ODI no. 3869,Bangladesh,182/2 ,"182/2 (27.1 Overs, RR: 6.69)"
ODI no. 3870,New Zealand,344/6,"344/6 (50 Overs, RR: 6.88)"
ODI no. 3870,Ireland,154 ,"154 all out (39.3 Overs, RR: 3.89)"
ODI no. 3897,Sri Lanka,316/5,"316/5 (50 Overs, RR: 6.32)"
ODI no. 3897,Zimbabwe,322/4 ,"322/4 (47.4 Overs, RR: 6.75)"
ODI no. 3899,Zimbabwe,155,"155 all out (33.4 Overs, RR: 4.6)"
ODI no. 3899,Sri Lanka,158/3 ,"158/3 (30.1 Overs, RR: 5.23)"
ODI no. 3901,Zimbabwe,310/8,"310/8 (50 Overs, RR: 6.2)"
ODI no. 3901,Sri Lanka,312/2 ,"312/2 (47.2 Overs, RR: 6.59)"
ODI no. 3903,Sri Lanka,300/6,"300/6 (50 Overs, RR: 6.0)"
ODI no. 3903,Zimbabwe,219/6 ,"219/6 (29.2 Overs, RR: 7.46)"
ODI no. 3904,Sri Lanka,203/8,"203/8 (50 Overs, RR: 4.06)"
ODI no. 3904,Zimbabwe,204/7 ,"204/7 (38.1 Overs, RR: 5.34)"
ODI no. 3935,Afghanistan,238/9,"238/9 (50 Overs, RR: 4.76)"
ODI no. 3935,Ireland,100 ,"100 all out (31.4 Overs, RR: 3.15)"
ODI no. 3937,Ireland,271/9,"271/9 (50 Overs, RR: 5.42)"
ODI no. 3937,Afghanistan,220 ,"220 all out (45.2 Overs, RR: 4.85)"
ODI no. 3940,Afghanistan,177,"177 all out (48.2 Overs, RR: 3.66)"
ODI no. 3940,Ireland,180/5 ,"180/5 (38 Overs, RR: 4.73)"
ODI no. 3952,Zimbabwe,170,"170 all out (49 Overs, RR: 3.46)"
ODI no. 3952,Bangladesh,171/2 ,"171/2 (28.3 Overs, RR: 6.0)"
ODI no. 3955,Zimbabwe,290/6,"290/6 (50 Overs, RR: 5.8)"
ODI no. 3955,Sri Lanka,278 ,"278 all out (48.1 Overs, RR: 5.77)"
ODI no. 3962,Zimbabwe,198,"198 all out (44 Overs, RR: 4.5)"
ODI no. 3962,Sri Lanka,202/5 ,"202/5 (44.5 Overs, RR: 4.5)"
ODI no. 3964,Bangladesh,216/9,"216/9 (50 Overs, RR: 4.32)"
ODI no. 3964,Zimbabwe,125 ,"125 all out (36.3 Overs, RR: 3.42)"
ODI no. 3972,Afghanistan,333/5,"333/5 (50 Overs, RR: 6.66)"
ODI no. 3972,Zimbabwe,179 ,"179 all out (34.4 Overs, RR: 5.16)"
ODI no. 3974,Zimbabwe,333/5,"333/5 (50 Overs, RR: 6.66)"
ODI no. 3974,Afghanistan,179 ,"179 all out (30.1 Overs, RR: 5.93)"
ODI no. 3975,Zimbabwe,154,"154 all out (34.3 Overs, RR: 4.46)"
ODI no. 3975,Afghanistan,158/4 ,"158/4 (27.3 Overs, RR: 5.74)"
ODI no. 3977,Zimbabwe,134,"134 all out (38 Overs, RR: 3.52)"
ODI no. 3977,Afghanistan,135/0 ,"135/0 (21.1 Overs, RR: 6.37)"
ODI no. 3979,Afghanistan,241/9,"241/9 (50 Overs, RR: 4.82)"
ODI no. 3979,Zimbabwe,95 ,"95 all out (32.1 Overs, RR: 2.95)"
ODI no. 3983,Afghanistan,255,"255 all out (49.4 Overs, RR: 5.13)"
ODI no. 3983,Scotland,256/3 ,"256/3 (47.2 Overs, RR: 5.4)"
ODI no. 3987,West Indies,357/4,"357/4 (50 Overs, RR: 7.14)"
ODI no. 3987,United Arab Emirates,297/6 ,"297/6 (50 Overs, RR: 5.94)"
ODI no. 3988,Zimbabwe,196,"196 all out (43 Overs, RR: 4.55)"
ODI no. 3988,Afghanistan,194 ,"194 all out (49.3 Overs, RR: 3.91)"
ODI no. 3990,Hong Kong,241/8,"241/8 (50 Overs, RR: 4.82)"
ODI no. 3990,Afghanistan,195/9 ,"195/9 (46 Overs, RR: 4.23)"
ODI no. 3991,Papua New Guinea,200,"200 all out (42.4 Overs, RR: 4.68)"
ODI no. 3991,West Indies,201/4 ,"201/4 (43 Overs, RR: 4.67)"
ODI no. 3993,West Indies,257/8,"257/8 (50 Overs, RR: 5.14)"
