match_id,start_date,team1,team2,ground,result
3736,2016-02-09,SouthAfrica,England,Centurion,SouthAfrica
3737,2016-02-12,SouthAfrica,England,Johannesburg,SouthAfrica
3738,2016-02-14,SouthAfrica,England,Cape Town,SouthAfrica
3739,2016-06-03,WestIndies,South Africa,Providence,WestIndies
3740,2016-06-05,WestIndies,Australia,Providence,Australia
3741,2016-06-07,SouthAfrica,Australia,Providence,SouthAfrica
3742,2016-06-11,India,Zimbabwe,Harare,India
3743,2016-06-11,SouthAfrica,Australia,Basseterre,Australia
3744,2016-06-13,India,Zimbabwe,Harare,India
3745,2016-06-13,WestIndies,Australia,Basseterre,WestIndies
3746,2016-06-15,India,Zimbabwe,Harare,India
3747,2016-06-15,WestIndies,South Africa,Basseterre,South Africa
3748,2016-06-16,SriLanka,Ireland,Dublin (Malahide),SriLanka
3749,2016-06-18,SriLanka,Ireland,Dublin (Malahide),SriLanka
3750,2016-06-19,SouthAfrica,Australia,Bridgetown,n/r
3751,2016-06-21,SriLanka,England,Nottingham,tied
3752,2016-06-21,WestIndies,Australia,Bridgetown,Australia
3753,2016-06-24,SriLanka,England,Birmingham,England
3754,2016-06-24,WestIndies,South Africa,Bridgetown,WestIndies
3755,2016-06-26,SriLanka,England,Bristol,n/r
3756,2016-06-26,WestIndies,Australia,Bridgetown,Australia
3757,2016-06-29,SriLanka,England,The Oval,England
3758,2016-07-02,SriLanka,England,Cardiff,England
3759,2016-07-04,Afghanistan,Scotland,Edinburgh,n/r
3760,2016-07-06,Afghanistan,Scotland,Edinburgh,Afghanistan
3760,2016-07-10,Afghanistan,Ireland,Belfast,n/r
3761,2016-07-12,Afghanistan,Ireland,Belfast,Afghanistan
3762,2016-07-14,Afghanistan,Ireland,Belfast,Ireland
3763,2016-07-17,Afghanistan,Ireland,Belfast,Afghanistan
3764,2016-07-19,Afghanistan,Ireland,Belfast,Ireland
3767,2016-08-18,Pakistan,Ireland,Dublin (Malahide),Pakistan
3767,2016-08-20,Pakistan,Ireland,Dublin (Malahide),n/r
3768,2016-08-21,SriLanka,Australia,Colombo (RPS),Australia
3769,2016-08-24,SriLanka,Australia,Colombo (RPS),SriLanka
3770,2016-08-24,Pakistan,England,Southampton,England
3771,2016-08-27,Pakistan,England,Lord's,England
3772,2016-08-28,SriLanka,Australia,Dambulla,Australia
3773,2016-08-30,Pakistan,England,Nottingham,England
3774,2016-08-31,SriLanka,Australia,Dambulla,Australia
